os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 4,AMD Ryzen 7 7745HX with Radeon Graphics,NVIDIA GeForce RTX 4070 Laptop GPU,32528084,7.1.3-2-cachyos,,powersave
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
91.0536,10.9825,28.1211,0,76,63,51,1635,8001,6.62946,49,11.3581,2.40808,4.67847,3562,8291300849
95.169,10.5076,28.1211,0,76,63,51,1635,8001,6.62946,49,11.3581,2.40808,4.67847,3562,8391401071
89.9163,11.1215,28.1211,0,76,63,51,1635,8001,6.62946,49,11.3581,2.40808,4.67847,3562,8491503668
89.1454,11.2176,28.1211,0,76,63,51,1635,8001,6.62946,49,11.3581,2.40808,4.67847,3562,8591603890
91.9282,10.8781,24.6819,0,85,63,52,1608,7701,6.62946,49,11.3181,2.40797,4.67857,3565,8691699363
88.7509,11.2675,24.6819,0,85,63,52,1608,7701,6.62946,49,11.3181,2.40797,4.67857,3565,8791769903
88.0826,11.353,24.6819,0,85,63,52,1608,7701,6.62946,49,11.3181,2.40797,4.67857,3565,8891874875
88.807,11.2604,24.6819,0,85,63,52,1608,7701,6.62946,49,11.3181,2.40797,4.67857,3565,8992002405
84.7415,11.8006,27.0807,0,99,63,52,1563,7001,6.62946,49,11.3244,2.40797,4.67857,3566,9092110938
81.4,12.285,27.0807,0,99,63,52,1563,7001,6.62946,49,11.3244,2.40797,4.67857,3566,9192205224
99.0761,10.0933,27.0807,0,99,63,52,1563,7001,6.62946,49,11.3244,2.40797,4.67857,3566,9292307821
93.107,10.7403,27.0807,0,99,63,52,1563,7001,6.62946,49,11.3244,2.40797,4.67857,3566,9392409230
84.7756,11.7958,27.0807,0,99,63,52,1563,7001,6.62946,49,11.3244,2.40797,4.67857,3566,9492510640
90.128,11.0953,27.0807,0,99,63,52,1563,7001,6.62946,49,11.3244,2.40797,4.67857,3566,9592620360
82.646,12.0998,21.6898,0,100,63,52,1565,7001,6.62946,49,11.3169,2.40796,4.67859,3564,9692718208
95.4278,10.4791,21.6898,0,100,63,52,1565,7001,6.62946,49,11.3169,2.40796,4.67859,3564,9792830303
90.9553,10.9944,21.6898,0,100,63,52,1565,7001,6.62946,49,11.3169,2.40796,4.67859,3564,9892934087
77.1005,12.9701,21.6898,0,100,63,52,1565,7001,6.62946,49,11.3169,2.40796,4.67859,3564,9993059243
80.9852,12.3479,21.6898,0,100,63,52,1565,7001,6.62946,49,11.3169,2.40796,4.67859,3564,10093155903
89.8875,11.125,27.6299,0,100,64,52,1564,7001,6.62946,49,11.325,2.40794,4.67861,3567,10193265624
89.0229,11.2331,27.6299,0,100,64,52,1564,7001,6.62946,49,11.325,2.40794,4.67861,3567,10293377719
92.7992,10.776,27.6299,0,100,64,52,1564,7001,6.62946,49,11.325,2.40794,4.67861,3567,10393476754
91.5385,10.9244,27.6299,0,100,64,52,1564,7001,6.62946,49,11.325,2.40794,4.67861,3567,10493576976
93.4894,10.6964,27.6299,0,100,64,52,1564,7001,6.62946,49,11.325,2.40794,4.67861,3567,10593679573
86.9729,11.4978,21.7557,0,100,64,52,1539,7001,6.62946,49,11.3114,2.40791,4.67864,3568,10693780983
93.3547,10.7118,21.7557,0,100,64,52,1539,7001,6.62946,49,11.3114,2.40791,4.67864,3568,10793880017
86.8026,11.5204,21.7557,0,100,64,52,1539,7001,6.62946,49,11.3114,2.40791,4.67864,3568,10893981427
93.7182,10.6703,21.7557,0,100,64,52,1539,7001,6.62946,49,11.3114,2.40791,4.67864,3568,10994084024
82.4115,12.1342,21.7557,0,100,64,52,1539,7001,6.62946,49,11.3114,2.40791,4.67864,3568,11094187808
89.8779,11.1262,19.8986,0,100,63,52,1554,7001,6.62946,49,11.3117,2.4079,4.67865,3561,11194289217
88.3135,11.3233,19.8986,0,100,63,52,1554,7001,6.62946,49,11.3117,2.4079,4.67865,3561,11294397751
83.432,11.9858,19.8986,0,100,63,52,1554,7001,6.62946,49,11.3117,2.4079,4.67865,3561,11394501535
79.3972,12.5949,19.8986,0,100,63,52,1554,7001,6.62946,49,11.3117,2.4079,4.67865,3561,11494607694
84.2583,11.8683,19.8986,0,100,63,52,1554,7001,6.62946,49,11.3117,2.4079,4.67865,3561,11594715040
94.1057,10.6264,22.0828,0,100,63,52,1519,7001,6.62946,49,11.3083,2.40788,4.67867,3565,11694828322
89.1737,11.2141,22.0828,0,100,63,52,1519,7001,6.62946,49,11.3083,2.40788,4.67867,3565,11794929732
77.4978,12.9036,22.0828,0,100,63,52,1519,7001,6.62946,49,11.3083,2.40788,4.67867,3565,11895037078
74.3836,13.4438,22.0828,0,100,63,52,1519,7001,6.62946,49,11.3083,2.40788,4.67867,3565,11995145611
77.6478,12.8787,22.0828,0,100,63,52,1519,7001,6.62946,49,11.3083,2.40788,4.67867,3565,12095248208
98.6699,10.1348,20.875,0,100,64,52,1541,7001,6.62946,49,11.3125,2.40785,4.67869,3559,12195354367
79.4572,12.5854,20.875,0,100,64,52,1541,7001,6.62946,49,11.3125,2.40785,4.67869,3559,12295456964
88.258,11.3304,20.875,0,100,64,52,1541,7001,6.62946,49,11.3125,2.40785,4.67869,3559,12395560748
81.5419,12.2636,20.875,0,100,64,52,1541,7001,6.62946,49,11.3125,2.40785,4.67869,3559,12495664532
91.7579,10.8982,20.875,0,100,64,52,1541,7001,6.62946,49,11.3125,2.40785,4.67869,3559,12595751694
88.2118,11.3364,19.6451,0,100,64,52,1540,7001,6.62946,49,11.3107,2.40783,4.6787,3567,12695863789
91.5087,10.9279,19.6451,0,100,64,52,1540,7001,6.62946,49,11.3107,2.40783,4.6787,3567,12795953325
79.9246,12.5118,19.6451,0,100,64,52,1540,7001,6.62946,49,11.3107,2.40783,4.6787,3567,12896072544
76.2351,13.1173,19.6451,0,100,64,52,1540,7001,6.62946,49,11.3107,2.40783,4.6787,3567,12996196513
85.7597,11.6605,19.6451,0,100,64,52,1540,7001,6.62946,49,11.3107,2.40783,4.6787,3567,13096326418
84.5204,11.8315,19.6451,0,100,64,52,1540,7001,6.62946,49,11.3107,2.40783,4.6787,3567,13196439700
90.5349,11.0455,21.5736,0,100,64,52,1540,7001,6.62946,49,11.3042,2.40783,4.67871,3556,13296544671
91.6182,10.9149,21.5736,0,100,64,52,1540,7001,6.62946,49,11.3042,2.40783,4.67871,3556,13396643706
86.9909,11.4955,21.5736,0,100,64,52,1540,7001,6.62946,49,11.3042,2.40783,4.67871,3556,13496748678
79.3972,12.5949,21.5736,0,100,64,52,1540,7001,6.62946,49,11.3042,2.40783,4.67871,3556,13596856024
75.6123,13.2254,21.4824,0,99,64,52,1553,7001,6.62946,49,11.2967,2.40782,4.67871,3537,13696964557
94.4751,10.5848,21.4824,0,99,64,52,1553,7001,6.62946,49,11.2967,2.40782,4.67871,3537,13797075465
118.144,8.46428,21.4824,0,99,64,52,1553,7001,6.62946,49,11.2967,2.40782,4.67871,3537,13897182811
89.5054,11.1725,21.4824,0,99,64,52,1553,7001,6.62946,49,11.2967,2.40782,4.67871,3537,13997285408
